site;behaviour;category;complexity;presence;ref
Bafing;accumulative_stone_throwing;communication;2;0;PanAfData
Bafing;algae_fishing_with_tool;algae;1;0;
Bafing;ant_dipping_with_tool;ant;1;0;
Bafing;ant_eating_without_tools;ant;0;0;
Bafing;ant_fishing_with_tool;ant;1;0;
Bafing;cave_use;thermoregulation;0;0;
Bafing;ground_nest;ground protection;0;0;
Bafing;honey_aerial_with_tool;honey;1;0;
Bafing;honey_aerial_with_toolset;honey;2;0;
Bafing;honey_eating_without_tools;honey;0;0;
Bafing;leaf_clipping;communication;1;0;
Bafing;leaf_cushion;ground protection;0;0;
Bafing;leaf_sponge;water;1;0;
Bafing;marrow_pick;vertebrates;1;0;
Bafing;nut_cracking;nut;2;0;
Bafing;stone_throwing;communication;1;0;
Bafing;termite_eating_without_tools;termite;0;0;
Bafing;termite_fishing_with_tool;termite;1;1;
Bafing;underground_perforation_with_toolset;perforate honey/termites;2;0;
Bafing;water_dipping;water;1;0;
Bakoun-Sobory;accumulative_stone_throwing;communication;2;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Bakoun-Sobory;algae_fishing_with_tool;algae;1;1;Boesch et al. 2016 Chimpanzees Routinely Fish for Algae with Tools During the Dry Season in Bakoun Guinea American Journal of Primatology 79: e22613
Bakoun-Sobory;ant_dipping_with_tool;ant;1;1;
Bakoun-Sobory;ant_eating_without_tools;ant;0;0;
Bakoun-Sobory;ant_fishing_with_tool;ant;1;0;
Bakoun-Sobory;cave_use;thermoregulation;0;0;
Bakoun-Sobory;ground_nest;ground protection;0;0;
Bakoun-Sobory;honey_aerial_with_tool;honey;1;0;
Bakoun-Sobory;honey_aerial_with_toolset;honey;2;0;
Bakoun-Sobory;honey_eating_without_tools;honey;0;1;
Bakoun-Sobory;leaf_clipping;communication;1;0;
Bakoun-Sobory;leaf_cushion;ground protection;0;0;
Bakoun-Sobory;leaf_sponge;water;1;0;
Bakoun-Sobory;marrow_pick;vertebrates;1;0;
Bakoun-Sobory;nut_cracking;nut;2;0;
Bakoun-Sobory;stone_throwing;communication;1;0;
Bakoun-Sobory;termite_eating_without_tools;termite;0;0;
Bakoun-Sobory;termite_fishing_with_tool;termite;1;1;
Bakoun-Sobory;underground_perforation_with_toolset;perforate honey/termites;2;0;
Bakoun-Sobory;water_dipping;water;1;0;
Bateke;accumulative_stone_throwing;communication;2;0;
Bateke;algae_fishing_with_tool;algae;1;0;
Bateke;ant_dipping_with_tool;ant;1;0;
Bateke;ant_eating_without_tools;ant;0;0;
Bateke;ant_fishing_with_tool;ant;1;0;
Bateke;cave_use;thermoregulation;0;0;
Bateke;ground_nest;ground protection;0;0;
Bateke;honey_aerial_with_tool;honey;1;1;
Bateke;honey_aerial_with_toolset;honey;2;0;
Bateke;honey_eating_without_tools;honey;0;0;
Bateke;leaf_clipping;communication;1;0;
Bateke;leaf_cushion;ground protection;0;0;
