site2;site1;dyadID;behaviour;complexity;presence1;presence2;shared;ibdbinary;ibdsource;neprabinary;neprasimilarity;sameregion;samehabitat;distance;min_observationtime_months;lon1;lat1;lon2;lat2;region1;region2;habitat1;habitat2;obstime1;obstime2;z.log.nepra;z.log.geo;z.obstime;z.log.obstime;refug.x;precip.x;refug.y;precip.y;meanref;z.sqrt.ref;meanprecip;z.log.precip
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Underground toolset;2;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Algae fishing;1;0;1;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Honey underground ;1;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Honey above-ground;1;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Termite fishing;1;1;1;1;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Honey toolset;2;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Honey eating;0;0;1;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Termite eating;0;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Water dipping;1;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
Bakoun-Sobory;Bafing;Bafing_Bakoun-Sobory;Marrow pick;1;0;0;0;1;tableS9;1;0.00247994;1;1;166595.7804;14;-10.43459141;12.98639809;-11.20404681;11.68425259;W;W;savannah;savannah;20;14;0.988617705;-2.302119731;-0.192856179;0.087532125;536.2006924;117;465.7672566;112;500.9839745;1.737204702;114.5;1.939809382
