"","dyadID","meanibd","maxibd","maxibdcorrect","totalind","avgmaxibd"
"1","Bafing_Bakoun-Sobory",1778211.88888889,5454928,606103.111111111,9,3074336.22222222
"2","Bafing_Boe",1356047.35294118,4637946,309196.4,15,1930395.94117647
"3","Bafing_Comoe",376676,376676,15694.8333333333,24,376676
"4","Bafing_Dindefelo",1288699.11111111,2482026,413671,6,2246086.11111111
"5","Bafing_Djouroutou",701708,701708,175427,4,701708
"6","Bafing_Grebo",836705,989776,82481.3333333333,12,915913
"7","Bafing_Kayan",1888790.6875,6514619,651461.9,10,2860443.4375
"8","Bafing_Sangaredi",1085086.25,1872248,312041.333333333,6,1086465.5
"9","Bafing_Sapo",1110909,1317516,146390.666666667,9,1110909
"10","Bafing_Sobeya",707239.25,887490,110936.25,8,779989
"11","Bakoun-Sobory_Bakoun-Sobory",2016888.22666667,19316536,1207283.5,16,3583446.36
"12","Bakoun-Sobory_Boe",1184680.40703518,5837657,265348.045454545,22,2039125.54271357
"13","Bakoun-Sobory_Comoe",649850.622641509,1554905,50158.2258064516,31,812092.981132075
"14","Bakoun-Sobory_Dindefelo",1276191,4958414,381416.461538462,13,1749023.55172414
"15","Bakoun-Sobory_Djouroutou",543278.375,731672,66515.6363636364,11,545027.125
"16","Bakoun-Sobory_EastNimba",628338.166666667,1536480,128040,12,758183.888888889
"17","Bakoun-Sobory_Grebo",505351.727272727,1434803,75515.9473684211,19,561234.484848485
"18","Bakoun-Sobory_Kayan",1643663.58461538,8057664,473980.235294118,17,2750842.28461538
"19","Bakoun-Sobory_Sangaredi",1347568.95652174,3073719,236439.923076923,13,1643055.56521739
"20","Bakoun-Sobory_Sapo",674082.533333333,3105008,194063,16,937419.666666667
"21","Bakoun-Sobory_Sobeya",1191657.80357143,4369137,291275.8,15,1773863.05357143
"22","Bakoun-Sobory_Tai",489658.71875,1212940,71349.4117647059,17,549970.34375
"23","Bateke_Conkouati",397505.375,862553,107819.125,8,551975.625
"24","Bateke_Goualougo",79200,79200,11314.2857142857,7,79200
"25","Bateke_Loango",729322,729322,121553.666666667,6,729322
"26","Bateke_Lope",487986.333333333,645663,215221,3,580456
"27","Bateke_MtCristal",45849,45849,11462.25,4,45849
"28","Bili-Uele_Budongo",235479.333333333,377965,41996.1111111111,9,235479.333333333
"29","Bili-Uele_Chinko",1370248.25,3444202,574033.666666667,6,2893018.25
"30","Bili-Uele_Gashaka",287660,287660,23971.6666666667,12,287660
"31","Bili-Uele_Issa-Ugalla",388972,388972,35361.0909090909,11,388972
"32","Bili-Uele_MtCristal",385133,385133,77026.6,5,385133
"33","Bili-Uele_Ngogo",131510,131510,7735.88235294118,17,131510
"34","Bili-Uele_Nyungwe",717803,717803,71780.3,10,717803
"35","Boe_Boe",1498642.04255319,7369530,263197.5,28,2653149.15957447
"36","Boe_Comoe",618215.301886792,1674129,45246.7297297297,37,644224.79245283
"37","Boe_Dindefelo",1280310.64893617,5216315,274542.894736842,19,1770807.57446809
"38","Boe_Djouroutou",570081.285714286,923404,54317.8823529412,17,607816.142857143
"39","Boe_EastNimba",627543.333333333,1543881,85771.1666666667,18,951895.6
"40","Boe_Grebo",577262.909090909,1144762,45790.48,25,682514.290909091
"41","Boe_Kayan",1099567.8134715,4575608,198939.47826087,23,1703794.20207254
"42","Boe_Sangaredi",1859456.46753247,7190296,378436.631578947,19,2827257.55844156
"43","Boe_Sapo",659765.297297297,1330922,60496.4545454545,22,807096
"44","Boe_Sobeya",1040111.72727273,3763167,179198.428571429,21,1515638.25
"45","Boe_Tai",608930.588235294,1345487,58499.4347826087,23,624199.117647059
"46","Budongo_Budongo",1308100.18055556,5123128,365937.714285714,14,2832911.41666667
"47","Budongo_Bwindi",502463,1669761,119268.642857143,14,514707.285714286
"48","Budongo_Chinko",450115.769230769,757212,68837.4545454545,11,521603.923076923
"49","Budongo_Gishwati",314981.1,775579,64631.5833333333,12,341593.4
"50","Budongo_Issa-Ugalla",511476.8,769032,48064.5,16,533072
"51","Budongo_Kabogo",208015,208015,26001.875,8,208015
"52","Budongo_Ngogo",672874.81875,2658794,120854.272727273,22,1024239.99375
"53","Budongo_Nyungwe",496800.5,617048,41136.5333333333,15,496800.5
"54","Budongo_Rubi-Tele",99560,150429,18803.625,8,99560
"55","Bwindi_Bwindi",1474636.64285714,3311014,236501,14,2227735.92857143
"56","Bwindi_Chinko",340603,340603,30963.9090909091,11,340603
"57","Bwindi_Conkouati",114743,114743,8195.92857142857,14,114743
"58","Bwindi_Gishwati",699763.916666667,1196585,99715.4166666667,12,732900.25
"59","Bwindi_Issa-Ugalla",581172.5,627748,39234.25,16,581172.5
"60","Bwindi_Ngogo",686763.157894737,2032709,92395.8636363636,22,697704.105263158
"61","Bwindi_Nyungwe",627294.25,1869270,124618,15,650705.333333333
