"","pop1","pop2","dyadID","ones","total","sim","index","simbin"
"182","Bwindi","Bakoun-Sobory","Bakoun-Sobory_Bwindi",387,949269,0.000407682121716816,1,1
"116","Boe","MtCameroon","Boe_MtCameroon",34,858943,3.95835346466529e-05,2,1
"422","Kabogo","Sapo","Kabogo_Sapo",46,883229,5.20816232256867e-05,3,1
"63","Bateke","Sobeya","Bateke_Sobeya",23,867353,2.65174617485614e-05,4,1
"254","Dindefelo","Ngogo","Dindefelo_Ngogo",469,950944,0.000493194131305313,5,1
"92","Bili-Uele","Sangaredi","Bili-Uele_Sangaredi",55,931270,5.90591343004714e-05,6,1
"306","EastNimba","Sobeya","EastNimba_Sobeya",2674,952041,0.00280870256638107,7,1
"247","Dindefelo","LaBelgique","Dindefelo_LaBelgique",7,821921,8.51663359373954e-06,8,1
"468","LaBelgique","Sobeya","LaBelgique_Sobeya",21,822460,2.55331566276779e-05,9,1
"123","Boe","Sapo","Boe_Sapo",4075,953616,0.00427320850321303,10,1
"139","Budongo","Kayan","Budongo_Kayan",487,950191,0.000512528533736901,11,1
"266","Djouroutou","Grebo","Djouroutou_Grebo",2790,947282,0.00294526867395348,12,1
"55","Bateke","MtCameroon","Bateke_MtCameroon",31,811197,3.8215131466216e-05,13,1
"311","Gashaka","Grebo","Gashaka_Grebo",2582,957853,0.00269561195715835,14,1
"431","Kayan","MtCameroon","Kayan_MtCameroon",55,859538,6.39878632474655e-05,15,1
"557","Sapo","Bakoun-Sobory","Bakoun-Sobory_Sapo",4285,956255,0.00448102232145191,16,1
"512","MtCameroon","Sangaredi","MtCameroon_Sangaredi",18,858282,2.09721280418324e-05,17,1
"520","MtSangbe","Rubi-Tele","MtSangbe_Rubi-Tele",37,928123,3.98654057705714e-05,18,1
"364","Goualougo","Ngogo","Goualougo_Ngogo",2682,949454,0.00282478140067871,19,1
"84","Bili-Uele","Lope","Bili-Uele_Lope",537,927278,0.000579114354055634,20,1
"349","Gishwati","Sobeya","Gishwati_Sobeya",394,951486,0.000414089119545637,21,1
"108","Boe","Issa-Ugalla","Boe_Issa-Ugalla",1879,954501,0.00196856786949411,22,1
"49","Bateke","Kayan","Bateke_Kayan",52,867498,5.99425013083604e-05,23,1
"210","Comoe","Tai","Comoe_Tai",4671,954753,0.00489236483153234,24,1
"450","Korup","Nyungwe","Korup_Nyungwe",563,947438,0.000594234134581893,25,1
"273","Djouroutou","Lope","Djouroutou_Lope",56,937282,5.97472265550816e-05,26,1
"157","Bwindi","Conkouati","Bwindi_Conkouati",1813,948029,0.00191238875604016,27,1
"112","Boe","LaBelgique","Boe_LaBelgique",29,821340,3.53081549662746e-05,28,1
"154","Budongo","Bakoun-Sobory","Bakoun-Sobory_Budongo",463,950137,0.000487298147530304,29,1
