"","Sample.y","Sample.x","Chr","Start","End","LOD.score","Length..bp.","Length..Mbp.","Site.x","Subspecies.x","Site.y","Subspecies.y","Km_distance","Generations.ago..assuming.1cM.1Mb.","Years..assuming.25y.generation.","LOD2","years"
"1","Boe1-32","Baf1-19","chr21",30768130,31716013,"6,34",947883,"0,95","Bafing","Western","Boe","Western","414,35","52,75","1318,73",1318.73,1318.73
"2","Boe1-32","Baf1-19","chr21",37732935,38430244,"3,12",697309,"0,70","Bafing","Western","Boe","Western","414,35","71,70","1792,61",1792.61,1792.61
"3","Boe1-32","Baf1-19","chr21",32697022,35720857,"6,79",3023835,"3,02","Bafing","Western","Boe","Western","414,35","16,54","413,38",413.38,413.38
"4","Boe1-32","Baf1-19","chr21",40276378,40786647,"5,11",510269,"0,51","Bafing","Western","Boe","Western","414,35","97,99","2449,69",2449.69,2449.69
"5","Boe1-43","Baf1-19","chr21",16756219,17689659,"6,28",933440,"0,93","Bafing","Western","Boe","Western","414,35","53,57","1339,13",1339.13,1339.13
"6","Boe1-44","Baf1-19","chr21",18101248,22739194,"14,61",4637946,"4,64","Bafing","Western","Boe","Western","414,35","10,78","269,52",269.52,269.52
"7","Boe1-57","Baf1-19","chr21",38991472,39536628,"3,12",545156,"0,55","Bafing","Western","Boe","Western","414,35","91,72","2292,92",2292.92,2292.92
"8","Boe1-57","Baf1-19","chr21",28110931,28811383,"5,51",700452,"0,70","Bafing","Western","Boe","Western","414,35","71,38","1784,56",1784.56,1784.56
"9","Boe1-57","Baf1-19","chr21",15211420,15963741,"4,07",752321,"0,75","Bafing","Western","Boe","Western","414,35","66,46","1661,52",1661.52,1661.52
"10","Boe1-71","Baf1-19","chr21",44358561,45424125,"3,39",1065564,"1,07","Bafing","Western","Boe","Western","414,35","46,92","1173,09",1173.09,1173.09
"11","Boe1-71","Baf1-19","chr21",34472232,35596018,"3,89",1123786,"1,12","Bafing","Western","Boe","Western","414,35","44,49","1112,31",1112.31,1112.31
"12","Boe1-71","Baf1-19","chr21",28614836,30802964,"8,25",2188128,"2,19","Bafing","Western","Boe","Western","414,35","22,85","571,26",571.26,571.26
"13","Boe2-11","Baf1-19","chr21",16706477,17735696,"8,3",1029219,"1,03","Bafing","Western","Boe","Western","414,35","48,58","1214,51",1214.51,1214.51
"14","Boe2-18","Baf1-19","chr21",16706477,17653175,"10,47",946698,"0,95","Bafing","Western","Boe","Western","414,35","52,82","1320,38",1320.38,1320.38
"15","Boe2-22","Baf1-19","chr21",28687914,31247803,"7,28",2559889,"2,56","Bafing","Western","Boe","Western","414,35","19,53","488,30",488.3,488.3
"16","Boe2-30","Baf1-19","chr21",39128934,40025360,"3,19",896426,"0,90","Bafing","Western","Boe","Western","414,35","55,78","1394,43",1394.43,1394.43
"17","Boe2-30","Baf1-19","chr21",43566747,44061231,"3,48",494484,"0,49","Bafing","Western","Boe","Western","414,35","101,12","2527,89",2527.89,2527.89
"18","Din1-26","Baf1-19","chr21",16854872,17664931,"3,54",810059,"0,81","Bafing","Western","Dindefelo","Western","223,99","61,72","1543,10",1543.1,1543.1
"19","Din1-53","Baf1-19","chr21",25913204,28394662,"3,45",2481458,"2,48","Bafing","Western","Dindefelo","Western","223,99","20,15","503,74",503.74,503.74
"20","Din1-53","Baf1-19","chr21",36551539,37373500,"5,09",821961,"0,82","Bafing","Western","Dindefelo","Western","223,99","60,83","1520,75",1520.75,1520.75
"21","Din1-53","Baf1-19","chr21",30768130,31742638,"4,35",974508,"0,97","Bafing","Western","Dindefelo","Western","223,99","51,31","1282,70",1282.7,1282.7
"22","Din1-53","Baf1-19","chr21",43547542,43840975,"3,31",293433,"0,29","Bafing","Western","Dindefelo","Western","223,99","170,40","4259,92",4259.92,4259.92
"23","Din1-53","Baf1-19","chr21",38976103,39919004,"3,13",942901,"0,94","Bafing","Western","Dindefelo","Western","223,99","53,03","1325,70",1325.7,1325.7
"24","Din1-53","Baf1-19","chr21",24100838,24858842,"4,25",758004,"0,76","Bafing","Western","Dindefelo","Western","223,99","65,96","1649,07",1649.07,1649.07
"25","Din1-6","Baf1-19","chr21",27777747,30259773,"7,57",2482026,"2,48","Bafing","Western","Dindefelo","Western","223,99","20,14","503,62",503.62,503.62
"26","Din2-38","Baf1-19","chr21",35818067,37852009,"7,37",2033942,"2,03","Bafing","Western","Dindefelo","Western","223,99","24,58","614,57",614.57,614.57
"27","Djo2-68","Baf1-19","chr21",46166407,46868115,"3,26",701708,"0,70","Bafing","Western","Djouroutou","Western","909,81","71,25","1781,37",1781.37,1781.37
"28","Fjn1-21","Baf1-19","chr21",31457596,32110053,"3,72",652457,"0,65","Bafing","Western","Sobeya","Western","239,27","76,63","1915,84",1915.84,1915.84
"29","Fjn1-42","Baf1-19","chr21",15271222,15963741,"4,36",692519,"0,69","Bafing","Western","Sobeya","Western","239,27","72,20","1805,00",1805,1805
"30","Fjn2-13","Baf1-19","chr21",36930124,37817614,"3,23",887490,"0,89","Bafing","Western","Sobeya","Western","239,27","56,34","1408,47",1408.47,1408.47
"31","Fjn2-13","Baf1-19","chr21",23884747,24481238,"4,26",596491,"0,60","Bafing","Western","Sobeya","Western","239,27","83,82","2095,59",2095.59,2095.59
"32","Fouta1-10","Baf1-19","chr21",22142693,27597621,"18,46",5454928,"5,45","Bafing","Western","Bakoun-Sobory","Western","166,56","9,17","229,15",229.15,229.15
"33","Fouta1-10","Baf1-19","chr21",18513185,19178445,"3,12",665260,"0,67","Bafing","Western","Bakoun-Sobory","Western","166,56","75,16","1878,96",1878.96,1878.96
"34","Fouta1-10","Baf1-19","chr21",40983874,41260236,"3,35",276362,"0,28","Bafing","Western","Bakoun-Sobory","Western","166,56","180,92","4523,05",4523.05,4523.05
"35","Fouta1-17","Baf1-19","chr21",28060669,30265369,"6,14",2204700,"2,20","Bafing","Western","Bakoun-Sobory","Western","166,56","22,68","566,97",566.97,566.97
"36","Fouta2-8","Baf1-19","chr21",36719637,37888721,"7,11",1169084,"1,17","Bafing","Western","Bakoun-Sobory","Western","166,56","42,77","1069,21",1069.21,1069.21
"37","Fouta2-8","Baf1-19","chr21",28902834,30818423,"6,22",1915589,"1,92","Bafing","Western","Bakoun-Sobory","Western","166,56","26,10","652,54",652.54,652.54
"38","Fouta3-1","Baf1-19","chr21",40464283,41260236,"7,64",795953,"0,80","Bafing","Western","Bakoun-Sobory","Western","166,56","62,82","1570,44",1570.44,1570.44
"39","Fouta3-1","Baf1-19","chr21",25832623,27817566,"3,42",1984943,"1,98","Bafing","Western","Bakoun-Sobory","Western","166,56","25,19","629,74",629.74,629.74
"40","Fouta3-1","Baf1-19","chr21",19799354,20357190,"4,08",557836,"0,56","Bafing","Western","Bakoun-Sobory","Western","166,56","89,63","2240,80",2240.8,2240.8
"41","Fouta3-25","Baf1-19","chr21",39128960,39892171,"4,12",763211,"0,76","Bafing","Western","Bakoun-Sobory","Western","166,56","65,51","1637,82",1637.82,1637.82
"42","Fouta3-25","Baf1-19","chr21",17653279,20589419,"13,65",2936140,"2,94","Bafing","Western","Bakoun-Sobory","Western","166,56","17,03","425,73",425.73,425.73
"43","Fouta3-25","Baf1-19","chr21",28610192,30722603,"9,29",2112411,"2,11","Bafing","Western","Bakoun-Sobory","Western","166,56","23,67","591,74",591.74,591.74
"44","Fouta3-25","Baf1-19","chr21",25806645,27777238,"3,3",1970593,"1,97","Bafing","Western","Bakoun-Sobory","Western","166,56","25,37","634,33",634.33,634.33
"45","Fouta3-37","Baf1-19","chr21",28110931,30849230,"5,37",2738299,"2,74","Bafing","Western","Bakoun-Sobory","Western","166,56","18,26","456,49",456.49,456.49
"46","Fouta3-40","Baf1-19","chr21",31437487,31723395,"3,1",285908,"0,29","Bafing","Western","Bakoun-Sobory","Western","166,56","174,88","4372,04",4372.04,4372.04
"47","Fouta3-40","Baf1-19","chr21",40848599,41547722,"4,61",699123,"0,70","Bafing","Western","Bakoun-Sobory","Western","166,56","71,52","1787,95",1787.95,1787.95
"48","Fouta3-40","Baf1-19","chr21",18769404,22280518,"8,14",3511114,"3,51","Bafing","Western","Bakoun-Sobory","Western","166,56","14,24","356,01",356.01,356.01
"49","Gbo1-27","Baf1-19","chr21",16743915,17496067,"6,75",752152,"0,75","Bafing","Western","Grebo","Western","889,22","66,48","1661,90",1661.9,1661.9
"50","Gbo1-27","Baf1-19","chr21",23419586,24409362,"3,02",989776,"0,99","Bafing","Western","Grebo","Western","889,22","50,52","1262,91",1262.91,1262.91
"51","Gbo1-41","Baf1-19","chr21",36554048,37322235,"3,06",768187,"0,77","Bafing","Western","Grebo","Western","889,22","65,09","1627,21",1627.21,1627.21
"52","Gco1-61","Baf1-19","chr21",26384938,28257186,"3,11",1872248,"1,87","Bafing","Western","Sangaredi","Western","444,31","26,71","667,65",667.65,667.65
"53","Gco2-5","Baf1-19","chr21",44337205,45289221,"3,61",952016,"0,95","Bafing","Western","Sangaredi","Western","444,31","52,52","1313,00",1313,1313
"54","Gco2-8","Baf1-19","chr21",36578715,37333997,"3,84",755282,"0,76","Bafing","Western","Sangaredi","Western","444,31","66,20","1655,01",1655.01,1655.01
